#net sta compBase lo la dep nameMode
hima3 61113 BH 110.28517 38.38611 1146.0 hima23
hima3 61114 BH 110.52849 38.38998 815.0 hima23
hima3 61115 BH 110.27488 37.21468 894.0 hima23
hima3 61116 BH 110.27272 37.41721 1067.0 hima23
hima3 61117 BH 109.37456 36.21876 1141.0 hima23
hima3 61118 BH 109.37929 36.431979999999996 959.0 hima23
hima3 61119 BH 110.04027 36.24308 1236.0 hima23
hima3 61120 BH 110.01633 36.4259 1183.0 hima23
hima3 61123 BH 110.03950999999999 36.05237 1162.0 hima23
hima3 61124 BH 110.23486999999999 36.06194 945.0 hima23
hima3 61125 BH 110.2677 36.23835 721.0 hima23
hima3 61126 BH 109.12006 38.19204 1230.0 hima23
hima3 61127 BH 109.3524 38.37744 1211.0 hima23
hima3 61128 BH 109.56266 37.592600000000004 959.0 hima23
hima3 61129 BH 110.01462 38.19501 1255.0 hima23
hima3 61130 BH 109.37027 37.02392 1132.0 hima23
hima3 61131 BH 109.38201 37.22654 1111.0 hima23
hima3 61132 BH 110.02753000000001 37.22233 940.0 hima23
hima3 61133 BH 110.0226 37.40112 1070.0 hima23
hima3 61134 BH 109.40654 38.21571 1093.0 hima23
hima3 61135 BH 109.1645 35.36358 828.0 hima23
hima3 61136 BH 109.17728 35.00062 764.0 hima23
hima3 14801 BH 111.43423000000001 39.35973 1417.0 hima23
hima3 14802 BH 112.07573000000001 39.372510000000005 1591.0 hima23
hima3 14803 BH 112.31932 39.37036 1448.0 hima23
hima3 14804 BH 112.59245999999999 39.36513 1014.0 hima23
hima3 14805 BH 113.22111999999998 39.36828 1093.0 hima23
hima3 14806 BH 113.52318 39.36528 1765.0 hima23
hima3 14807 BH 114.1451 39.37328 1406.0 hima23
hima3 14808 BH 112.09306000000001 39.548899999999996 1571.0 hima23
hima3 14809 BH 112.33488 39.551500000000004 1379.0 hima23
hima3 14810 BH 112.56657 39.55728 1451.0 hima23
hima3 14811 BH 113.25179 39.54624 1000.0 hima23
hima3 14812 BH 113.48465 39.56548 1034.0 hima23
hima3 14813 BH 112.33473 40.1496 1470.0 hima23
hima3 14814 BH 112.59425999999999 40.1413 1222.0 hima23
hima3 14815 BH 113.48438 40.1447 1137.0 hima23
hima3 14816 BH 114.13909 40.32816 1078.0 hima23
hima3 14817 BH 111.19874 39.16438 1168.0 hima23
hima3 14818 BH 111.43126000000001 39.17102 1487.0 hima23
hima3 14819 BH 112.07745999999999 39.16874 1714.0 hima23
hima3 14820 BH 112.35811 39.17842 1065.0 hima23
hima3 41201 BH 110.35081 34.20475 990.0 hima23
hima3 41202 BH 110.5384 34.24777 936.0 hima23
hima3 41203 BH 111.34709000000001 34.3208 662.0 hima23
hima3 41204 BH 111.4049 34.48562 616.0 hima23
hima3 41205 BH 112.08665 34.47766 385.0 hima23
hima3 41206 BH 112.33935 34.48219 203.0 hima23
hima3 41207 BH 112.58018 34.48702 216.0 hima23
hima3 41208 BH 113.24848 34.49049 140.0 hima23
hima3 41209 BH 113.5098 34.52645 103.0 hima23
hima3 41210 BH 114.18467000000001 34.53773 80.0 hima23
hima3 41211 BH 114.37792999999999 34.464439999999996 56.0 hima23
hima3 41212 BH 115.05083 34.489670000000004 91.0 hima23
hima3 41213 BH 112.07732 35.06795 589.0 hima23
hima3 41214 BH 113.02141 35.14969 514.0 hima23
hima3 41215 BH 113.24632 35.07374 94.0 hima23
hima3 41217 BH 114.16219 35.09476 81.0 hima23
hima3 41218 BH 114.37048 35.064099999999996 60.0 hima23
hima3 41219 BH 115.03792 35.072109999999995 66.0 hima23
hima3 41220 BH 113.26361999999999 35.25231 159.0 hima23
hima3 41221 BH 113.50263000000001 35.27434 131.0 hima23
hima3 41222 BH 114.15097 35.26933 68.0 hima23
hima3 41223 BH 114.39937 35.26918 65.0 hima23
hima3 41224 BH 115.05477 35.25739 66.0 hima23
hima3 41225 BH 113.50956000000001 35.45502 327.0 hima23
hima3 41226 BH 114.14569999999999 35.44771 110.0 hima23
hima3 41227 BH 113.44523 36.03772 434.0 hima23
hima3 41228 BH 114.4463 36.06677 69.0 hima23
hima3 41229 BH 115.06334999999999 36.069140000000004 71.0 hima23
hima3 41230 BH 113.45654 36.22219 577.0 hima23
hima3 15808 BH 111.17793999999999 40.342150000000004 998.0 hima23
hima3 15809 BH 111.20081 40.14535 1058.0 hima23
hima3 15810 BH 111.18064 39.56323 1297.0 hima23
hima3 15811 BH 111.16775 39.36392 1259.0 hima23
hima3 15812 BH 111.44724000000001 41.123940000000005 1743.0 hima23
hima3 15813 BH 111.43450999999999 40.55185 1209.0 hima23
hima3 15814 BH 111.41466 40.34163 1040.0 hima23
hima3 15815 BH 111.42993 40.15151 1176.0 hima23
hima3 15816 BH 112.08760000000001 41.11949 1747.0 hima23
hima3 15818 BH 112.07215000000001 40.33932 1349.0 hima23
hima3 15819 BH 112.10832 40.13968 1233.0 hima23
hima3 15820 BH 112.32656000000001 41.12294 1953.0 hima23
hima3 15821 BH 112.33140999999999 40.51684 1516.0 hima23
hima3 15822 BH 112.57007 41.1196 1691.0 hima23
hima3 15823 BH 112.58061 40.51587 1562.0 hima23
hima3 15824 BH 112.58627 40.3343 1611.0 hima23
hima3 15825 BH 113.23385 41.1348 1554.0 hima23
hima3 15827 BH 113.23201999999999 40.33777 1383.0 hima23
hima3 15829 BH 113.495 40.55328 1297.0 hima23
hima3 15928 BH 113.4893 41.12312 1434.0 hima23
hima3 15930 BH 113.50001 40.344319999999996 1594.0 hima23
hima3 15800 BH 110.52726000000001 41.123639999999995 1809.0 hima23
hima3 15801 BH 110.53207 40.519800000000004 1477.0 hima23
hima3 15802 BH 110.52799 40.34483 999.0 hima23
hima3 15803 BH 110.52296 40.14148 1017.0 hima23
hima3 15804 BH 110.55284 39.52737 1286.0 hima23
hima3 15805 BH 110.51405000000001 39.38173 1039.0 hima23
hima3 15806 BH 111.18513000000002 41.13754 1642.0 hima23
hima3 15807 BH 111.1935 40.51672 1287.0 hima23
hima3 15828 BH 113.48929 41.12311 1445.0 hima23
hima3 15830 BH 113.50002 40.34434 1603.0 hima23
hima3 14844 BH 111.18334 37.59405 1347.0 hima23
hima3 14845 BH 111.42911 37.596289999999996 1303.0 hima23
hima3 14864 BH 110.53705 37.02171 1041.0 hima23
hima3 14865 BH 111.18186 37.02805 1423.0 hima23
hima3 14870 BH 110.29540000000001 36.45415 863.0 hima23
hima3 14876 BH 110.52578 36.24716 1096.0 hima23
hima3 14877 BH 111.18324000000001 36.227399999999996 1266.0 hima23
hima3 14878 BH 111.44063 36.237989999999996 640.0 hima23
hima3 14879 BH 112.07852999999999 36.240320000000004 1106.0 hima23
hima3 14883 BH 110.50611 36.03469 1402.0 hima23
hima3 14884 BH 111.43254 36.05504 581.0 hima23
hima3 14890 BH 111.19533 35.45386 495.0 hima23
hima3 14891 BH 111.42119000000001 35.46364 682.0 hima23
hima3 14859 BH 112.08933 37.221129999999995 749.0 hima23
hima3 14833 BH 112.08593 38.573949999999996 2077.0 hima23
hima3 14834 BH 112.36467 38.59789 1524.0 hima23
hima3 14835 BH 113.24074 38.57981 1857.0 hima23
hima3 14836 BH 113.00124 39.14345 1743.0 hima23
